Company names,links,Category
EBERSPAECHER HOLDING GMBH & CO. KG,"https://www.eberspaecher.com/fileadmin/data/corporatesite/pdf/en/7_company/EB_Annual_Report_01.pdf
https://www.eberspaecher.com/en/press/press-releases/individual-view/eberspaecher-group-2021-2022-review-and-outlook",News Section
WEBASTO AG FAHRZEUGTECHNIK,https://www.webasto.com/en-int/newsroom/press-releases/current-situation.html,News Section
TRISTONE FLOWTECH HOLDING SAS,"chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.tristone.com/media/1426/tristone-press-20230119-press-communication-tristone-flowtech-group-press-release-fy-2022-unaudited-results-b.pdf , chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.tristone.com/media/zfdpfau4/tristone-press-flowtech-group-fy-2023.pdf",News Section
FREUDENBERG & CO,https://www.freudenberg.com/press-media/publications,News Section
