Company names,links,Category
HL MANDO CORPORATION,https://www.hlmando.com/en/hl-mando/ir.do,Investors Page
"TEIJIN AUTOMOTIVE TECHNOLOGIES, INC.",https://www.teijin.com/ir/library/annual-report/backnumber.html,Investors Page
JOHNSON MATTHEY PLC,https://matthey.com/investors/results-reports-and-presentations,Investors Page
NGK SPARK PLUG CO LTD,https://www.ngkntk.co.jp/english/ir/library/integration_report.html,Investors Page
PPG INDUSTRIES INC,https://investor.ppg.com/financial-info/annual-reports-and-proxy-statements/default.aspx,Investors Page
HANKOOK TIRE CO LTD,https://www.hankooktire.com/global/en/investors/financial-reports/annual-reports.html,Investors Page
ABC PLASTIC MOULDING,https://abctechnologies.com/investors/,Investors Page
PIRELLI SPA,https://corporate.pirelli.com/corporate/en-ww/archive/investors/financialresults-and-documents,Investors Page
TE CONNECTIVITY LTD.,https://investors.te.com/financial-reports/annual-reports/default.aspx,Investors Page
JTEKT,https://www.jtekt.co.jp/e/ir/f_sheet.html,Investors Page
THK RHYTHM CO LTD,https://www.thk.com/jp/en/ir/library/results/,Investors Page
NHK SPRING CO LTD,https://english.nhkspg.co.jp/eng/ir/library/financial.html,Investors Page
BRITISH PETROLEUM CO PLC,https://www.bp.com/en/global/corporate/investors/results-reporting-and-presentations/archive.html#tab_2023,Investors Page
SONA BLW PRECISION FORGINGS LTD,https://sonacomstar.com/investor/annual-reports-and-returns,Investors Page
NSK LTD,https://www.nsk.com/company/investors/consolidated-financial-statements/,Investors Page
FOX FACTORY INC,https://investor.ridefox.com/financial-information/annual-reports/default.aspx,Investors Page
TOKAI RIKA CO LTD,https://www.tokai-rika.co.jp/en/investors/index.html#anc2,Investors Page
SOGEFI ENGINE SYSTEMS CANADA CORP,https://www.sogefigroup.com/en/investor-relations/financial-Statements-reports/2024/index.html,Investors Page
TOLEDO MOLDING & DIE INC,https://www.grammer.com/investor-relations/finanzpublikationen-praesentationen/geschaeftsberichte/,Investors Page
BORGWARNER PROPULSION SYSTEMS LLC,https://www.borgwarner.com/investors/annual-reports,Investors Page
HENKEL KGAA,https://www.henkel.com/investors-and-analysts/financial-reports/annual-reports,Investors Page
STABILUS GMBH,https://ir.stabilus.com/investor-relations/publications/,Investors Page
TOYODA GOSEI NORTH AMERICA CORPORATION,https://www.toyoda-gosei.com/ir/document/accounts_data/?cat=earningsreport,Investors Page
CIE AUTOMOTIVE SA,https://www.cieautomotive.com/en/web/investors-website/annual-reports-and-accounts,Investors Page
PWO AG,https://www.pwo-group.com/en/investors-press/news-publications/reports/,Investors Page
TOLEDO TECHNOLOGIES,https://investor.mt.com/financials/annual-reports/default.aspx,Investors Page
SALZGITTER FLACHSTAHL GMBH,https://www.salzgitter-ag.com/en/investor-relations/news-and-publications/reports.html,Investors Page
TATA STEEL LIMITED,https://www.tatasteel.com/investors/integrated-reportannual-report/,Investors Page
TIMKENSTEEL CORPORATION,https://investors.metallus.com/financials/annual-reports/default.aspx,Investors Page
SUMITOMO RIKO COMPANY LTD.,https://www.sumitomoriko.co.jp/english/ir/news.html,Investors Page
THE CHEMOURS COMPANY,https://investors.chemours.com/financials/annual-and-proxy/default.aspx,Investors Page
MIRGOR S.A.C.I.F.I.A.,https://mirgor.com/en/investors/,Investors Page
WARN AUTOMOTIVE LLC,https://investors.dovercorporation.com/annual-reports,Investors Page
CIR SPA CIE INDUSTRIALI RIUNITE,https://www.cirgroup.it/en/financial-reports/,Investors Page
EMS CHEMIE AG,https://www.ems-group.com/en/investors/financial-/-media-information/business-/-financial-reports/,Investors Page
LG ELECTRONICS INC,https://www.lg.com/global/investor-relations/financial-information/,Investors Page
GENTEX CORP,https://ir.gentex.com/financials-and-filings/annual-reports-and-proxy-statements,Investors Page
KEYSTONE POWDERED METAL CO,https://sumitomoelectric.com/ir/library,Investors Page
INGEVITY CORPORATION,https://ir.ingevity.com/financial-information/annual-reports-and-proxy/default.aspx,Investors Page
METHODE ELECTRONIC INC,https://ir.methode.com/financials/sec-filings/default.aspx,Investors Page
TOSHIBA CORPORATION,https://www.global.toshiba/ww/ir/corporate/finance/annual-report.html,Investors Page
PARK OHIO INDUSTRIES INC,https://pkoh.com/investor-relations/annual-reports,Investors Page
FINCO OMAHA LTD.,https://investors.gates.com/financials/annual-reports/default.aspx,Investors Page
NUCOR STEEL,https://investors.nucor.com/financials/annual-reports/default.aspx,Investors Page
HARADA INDUSTRY OF AMERICA INC,https://www.harada.com/en/ir/library/reports.html,Investors Page
KAISER ALUMINUM & CHEMICAL CORPORATION,https://investors.kaiseraluminum.com/investors/financials/annual-reports/default.aspx,Investors Page
FINNVEDEN BULTEN AUTOMOTIVE,https://www.bulten.com/en/IR/Annual-reports?_gl=1*12xkw8q*_up*MQ..*_ga*MzEwMjAwMDQuMTcxODA5NzYxNw..*_ga_NR184M0QVM*MTcxODA5NzYxNC4xLjEuMTcxODA5NzYyMC4wLjAuMA..,Investors Page
SIKA LIMITED,https://www.sika.com/en/investors/reports-publications/financial-reports.html,Investors Page
NIPPON SHEET GLASS CO LTD,https://www.nsg.com/en/investors/ir-library/securities-reports,Investors Page
"G-TEKT EASTERN CO.,LTD",https://www.g-tekt.jp/english/ir/library/fr.html,Investors Page
DIAMOND ELECTRIC MANUFACTURING CO LTD,https://www.diaelec-hd.co.jp/ir/library/,Investors Page
