Company names,links,Category
DENSO CORP,https://www.denso.com/global/home/about-us/investors/annual-report/,About Page
GKN PLC,https://www.gknaerospace.com/about-us/,About Page
MANN & HUMMEL GMBH,"https://www.mann-hummel.com/en/company/about-us/annual-report.html
https://www.mann-hummel.com/en/company/downloads/publications.html#accordion-1a3aec0f84-item-eeb1a80b76",About Page
JOHNSON ELECTRIC ASTI SRL,https://www.johnsonelectric.com/en/about-us/investors/annual-and-interim-reports,About Page
"HDT AUTOMOTIVE SOLUTIONS, LLC",https://hdt-auto.com/about-us/downloads/,About Page
